Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Accessories,магазин сумок,Обувные магазины; Сумки / Кожгалантерея,"проспект Абая, 107",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,13,87272253558,87055511333,,info@acces.kz,,http://acces.kz,,https://instagram.com/acceskz_almaty,,,,https://wa.me/77055511333,,,viber://chat/?number=77055511333,,,43.240664,76.91377,https://2gis.com/firm/9429940001390235
Damat Tween,,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея,"улица Макатаева, 127/1",2 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.1,9,87718550000,,,imperokaz@mail.ru,,http://damattween.com,,https://instagram.com/damattween_kz,,,,https://wa.me/77718550000,,,,,,43.263843,76.929098,https://2gis.com/firm/70000001057154648
DeFacto,бутик одежды и аксессуаров,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея,"проспект Сейфуллина, 483",2 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.8,72,87273495805,,,,,http://defactofashion.com,http://defacto.com/ru-kz,https://instagram.com/defacto.global,,,,https://wa.me/77012144424,,,,,,43.263926,76.92851,https://2gis.com/firm/9429940001658020
4MONKEYS,сеть бутиков мужской одежды и обуви,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея; Головные / шейные уборы,"8-й микрорайон, 37/1",137 бутик; 1 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,50,87078108198,,,info@4monkeys.kz,,http://4monkeys.kz,,https://instagram.com/4monkeys.kz,,,,https://wa.me/77072705098,,,,,,43.227901,76.864826,https://2gis.com/firm/70000001051318521
LEVITA,интернет-магазин обуви и аксессуаров,Обувные магазины; Сумки / Кожгалантерея,"улица Каныша Сатпаева, 30/2",9 офис; 2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.8,19,87015118790,87784094386,,levitaplus@gmail.com,,http://levita.kz,,https://instagram.com/levita.shoes.men,,,,https://wa.me/77784094386,https://wa.me/77015118790,,,,,43.234574,76.922542,https://2gis.com/firm/70000001044830610
Kostyum.kz,магазин одежды,Обувные магазины; Мужская одежда,"улица Ади Шарипова, 145 к4",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,18,87077315400,,,info@kostyum.kz,,http://kostyum.kz,,https://instagram.com/kostyum.kz,,https://facebook.com/kostyum.kz,,https://wa.me/77077315400,,,,,,43.243298,76.923039,https://2gis.com/firm/70000001065645977
Восход,магазин одежды,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Детская одежда,"улица Кунаева, 163",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-19:00,+05:00,3.7,9,87272611811,87074108889,,,,,,https://instagram.com/vosxodalmaty,,,,https://wa.me/77074108889,,,,,,43.246518,76.950824,https://2gis.com/firm/70000001048074788
Mix & Match,магазин,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Верхняя одежда,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,35,87086923572,,,,,,,https://instagram.com/mixandmatch.kz,,,,https://wa.me/77086923572,,,,,,43.23391,76.935099,https://2gis.com/firm/70000001062948255
Lordmaul,бутик мужской одежды,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея; Мастерские по ремонту одежды,"улица Розыбакиева, 263",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.3,3,87788865788,,,,,http://lordmaul.com,,https://instagram.com/lordmaul_almatyofficial,,,,https://wa.me/77788865788,,,,,,43.200874,76.892057,https://2gis.com/firm/70000001078843327
Emilio Guido,магазин мужской одежды и аксессуаров,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея; Мастерские по ремонту одежды,"улица Розыбакиева, 263",2-56 бутик; 2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,60,87476099590,87788865788,87022011211,emilioguidoofficial@gmail.com,emilioguidokz@gmail.com,http://www.emilioguido.eu,,https://instagram.com/emilioguido.kz,,,,https://wa.me/77788865788,https://wa.me/77022011211,https://wa.me/77476099590,,,,43.200952,76.892125,https://2gis.com/firm/70000001018802245
Zara,магазин одежды и аксессуаров,Обувные магазины; Женская одежда; Детская одежда; Мужская одежда; Сумки / Кожгалантерея,"проспект Сейфуллина, 483",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.3,158,87172696724,,,,,http://zara.com,,https://instagram.com/zara,,,,,,,,,,43.264521,76.929981,https://2gis.com/firm/70000001031366195
Jalan Jalan Japan,магазин японских товаров,Обувные магазины; Сумки / Кожгалантерея; Женская одежда; Спортивный инвентарь; Секонд-хенд,"улица Тимирязева, 42",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.6,46,87073271752,,,,,,,https://instagram.com/jalanjalanjapan.gallery,,,,,,,,,,43.225441,76.910553,https://2gis.com/firm/70000001080410749
Aiaru Style,магазин женской одежды и обуви,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"улица Толе би, 155а",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.2,92,87016768878,,,,,,,https://instagram.com/aiaru__style,,,,https://wa.me/77016768878,,,,,,43.253043,76.912988,https://2gis.com/firm/70000001069038655
Sneakertown,магазин кроссовок и одежды,Обувные магазины; Спортивная одежда / обувь; Мужская одежда; Женская одежда,"проспект Абая, 44",цокольный этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,1090,87008282464,,,,,http://www.sneakertown.kz,,https://instagram.com/sneakertown_kaz,,,,,,,,https://t.me/sneakertownqaz,,43.240613,76.926113,https://2gis.com/firm/70000001033800681
Zara,магазин одежды и аксессуаров,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Сумки / Кожгалантерея,"улица Розыбакиева, 247а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.3,248,87172696724,,,,,http://zara.com,,https://instagram.com/zara,,,,,,,,,,43.202054,76.892433,https://2gis.com/firm/9429940000901486
Bauma,магазин мужской одежды,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея; Чулочно-носочные изделия,"проспект Абая, 109в",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,166,87787943822,,,,,http://baumakz.taplink.ws/,,https://instagram.com/bauma_store_almaty,,,,https://wa.me/77787943822,,,,,,43.240587,76.905454,https://2gis.com/firm/70000001067608147
Club100,"мультибрендовый магазин кроссовок, одежды и аксессуаров",Обувные магазины; Спортивная одежда / обувь; Мужская одежда; Женская одежда,"проспект Абая, 109/6",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,222,87017528338,87019113310,,,,http://club100.kz/?utm_source=2gis,,https://instagram.com/club100.kz,,,,https://wa.me/77019113310,https://wa.me/77017528338,,,https://t.me/club100outlet,https://youtube.com/channel/UCKjaI9a8GaFIyXzZF1bc23A/featured,43.240492,76.91031,https://2gis.com/firm/70000001018686092
Shapan,​магазин мужской одежды,Обувные магазины; Мужская одежда,"улица Жандосова, 36",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,3.8,6,87075513634,,,,,,,https://instagram.com/shapankzz__,,,,https://wa.me/77075513634,,,,,,43.23267,76.902451,https://2gis.com/firm/70000001086712920
Shoqan,"магазин мужских костюмов, обуви и аксессуаров",Обувные магазины; Мужская одежда; Часы / Аксессуары; Верхняя одежда,"улица Толе би, 65",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,327,87078443600,,,,,http://tiktok.com/@shoqan,,https://instagram.com/shoqansuits,,,,https://wa.me/77078443600,,,,,,43.25476,76.939194,https://2gis.com/firm/70000001028206888
Brux,магазин,Обувные магазины; Женская одежда; Мужская одежда; Спортивная одежда / обувь; Верхняя одежда,"улица Кабанбай батыра, 138",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.9,38,87272662233,87476278464,,,,,,https://instagram.com/bruxstore,,,,https://wa.me/77476278464,,,,https://t.me/bruxstore,,43.248714,76.934752,https://2gis.com/firm/9429940000789013
Megamoda.kz,магазин женской одежды,Обувные магазины; Женская одежда; Часы / Аксессуары; Головные / шейные уборы,"улица Желтоксан, 155",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.0,182,87014899303,87772177199,,,,,,https://instagram.com/megamoda.01,,,,https://wa.me/77014899303,https://wa.me/77015596195,,,,,43.245221,76.94068,https://2gis.com/firm/70000001045551960
Rika-shop.kz,магазин кроссовок и одежды для бега и фитнеса,Обувные магазины; Спортивная одежда / обувь; Спортивное питание,"проспект Абая, 159/2",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.8,91,87017455420,87014562574,,,,http://Rika-shop.kz,,https://instagram.com/rika_shop_almaty,,,,https://wa.me/77022323360,,,,,,43.240813,76.889054,https://2gis.com/firm/70000001066898131
Declared,магазин мужской одежды и обуви,Обувные магазины; Мужская одежда,"улица Жандосова, 12",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,1217,87757828015,,,,,,,https://instagram.com/declared_almaty,,,,https://wa.me/77757828015,,,,,,43.234869,76.908084,https://2gis.com/firm/70000001054209280
Мегахенд,магазин одежды и обуви,Обувные магазины; Секонд-хенд; Женская одежда; Детская одежда; Мужская одежда,"улица Мауленова, 123",цокольный этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,3.2,75,87086683241,,,,,,,https://instagram.com/megahand_kurmangazy,,,,https://wa.me/77086683241,,,,,,43.244103,76.935509,https://2gis.com/firm/70000001029210375
Wolf Steps,мультибрендовый магазин кроссовок и одежды,Обувные магазины; Спортивная одежда / обувь,"проспект Абая, 81",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.6,99,87079047404,,,,,,,https://instagram.com/wolfsteps.ala,,,,https://wa.me/77079047404,,,,,,43.241488,76.927768,https://2gis.com/firm/70000001061028247
Weeknd,магазин женской одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Солнцезащитные очки,"проспект Абая, 109в",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,19,87058618848,,,,,,,https://instagram.com/weeknd_kz,,,,https://wa.me/77058618848,,,,,,43.240469,76.90589,https://2gis.com/firm/70000001080297411
SA Almaty,бутик женской одежды,Обувные магазины; Женская одежда; Бижутерия; Верхняя одежда; Головные / шейные уборы,"проспект Сейфуллина, 472",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,181,87076252398 (единая справочная: пн-вс 10:00-20:00),,,,,,,https://instagram.com/sa_almaty,,,,https://wa.me/77076252398,,,,,,43.255146,76.933262,https://2gis.com/firm/70000001046247217
Msq,магазин одежды,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея; Женская одежда; Головные / шейные уборы,"улица Жолдасбекова, 9а",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.3,81,87767777606,87767777422,,,,,,https://instagram.com/msq.official,,,,https://wa.me/77767777606,https://wa.me/77767777422,,,,,43.234742,76.955525,https://2gis.com/firm/70000001026021871
Sass_mag,магазин женской одежды и обуви ,Обувные магазины; Женская одежда,"улица Манаса, 73",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,5.0,30,87084814545,,,,,,,https://instagram.com/sass_mag,,,,https://wa.me/77084814545,,,,,,43.230838,76.909476,https://2gis.com/firm/70000001083021839
H & M,магазин одежды и аксессуаров,Обувные магазины; Женская одежда; Головные / шейные уборы; Мужская одежда; Детская одежда,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.8,68,,,,,,http://www.hm.com/kz,,,,https://facebook.com/hmkazakhstan,https://vk.com/hmkazakhstan,,,,,,,43.234094,76.935334,https://2gis.com/firm/70000001039967585
Louis Vuitton,магазин брендовой одежды и аксессуаров,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Бижутерия,"проспект Аль-Фараби, 77/8",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.8,49,87013365001,,,,,http://www.louisvuitton.com,,,,,,,,,,,,43.218228,76.92801,https://2gis.com/firm/9429940000980048
Cotton,"магазин одежды, обуви и аксессуаров",Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Бижутерия,"улица Жамбыла, 175",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.5,139,87081115540,,,,,,,https://instagram.com/cottonshop_kz,,,,https://wa.me/77081115540,https://wa.me/77008008010,,,,,43.245304,76.904789,https://2gis.com/firm/9429940001000637
Intertop,магазин одежды и обуви,Обувные магазины; Сумки / Кожгалантерея,"проспект Сейфуллина, 617",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.3,45,87273551172,,,,,http://www.intertop.kz,,https://instagram.com/intertopkz,,https://facebook.com/intertop.kz,,https://wa.me/77717045301,,,,,,43.234103,76.935687,https://2gis.com/firm/70000001035160694
Bacci,магазин,Обувные магазины; Мужская одежда; Верхняя одежда; Чулочно-носочные изделия,"проспект Абая, 101",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.2,37,87054350170,,,,,,,https://instagram.com/bacci_almaty,,,,https://wa.me/77054350170,,,,,,43.241013,76.921028,https://2gis.com/firm/70000001040156665
Uniqx,магазин одежды,Обувные магазины; Мужская одежда; Женская одежда; Верхняя одежда,"улица Тулебаева, 172",вход с ул. Тулебаева,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,3.7,33,,,,,,,,https://instagram.com/uniqx.store,,,,,,,,,,43.246381,76.949744,https://2gis.com/firm/70000001057139500
Crinzo.co,магазин мужской одежды и аксессуаров,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея; Часы / Аксессуары; Спортивная одежда / обувь,"улица Желтоксан, 171",,050021,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,275,,,,,,,,https://instagram.com/crinzo.outlet,,,,https://wa.me/77000400202,,,,,,43.241344,76.940855,https://2gis.com/firm/70000001033302627
